movieId,title,genre,
0000000006,Heat (1995),Action|Crime|Thriller,
0000000050,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,
0000000111,Taxi Driver (1976),Crime|Drama|Thriller,
0000000150,Apollo 13 (1995),Adventure|Drama|IMAX,
0000000165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,
0000000231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,
0000000266,Legends of the Fall (1994),Drama|Romance|War|Western,
0000000293,L̩on: The Professional (a.k.a. The Professional) (L̩on) (1994),Action|Crime|Drama|Thriller,
0000000296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,
0000000318,"Shawshank Redemption, The (1994)",Crime|Drama,
0000000356,Forrest Gump (1994),Comedy|Drama|Romance|War,
0000000420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,
0000000480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,
0000000527,Schindler's List (1993),Drama|War,
0000000553,Tombstone (1993),Action|Drama|Western,
0000000586,Home Alone (1990),Children|Comedy,
0000000589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,
0000000608,Fargo (1996),Comedy|Crime|Drama|Thriller,
0000000778,Trainspotting (1996),Comedy|Crime|Drama,
0000000858,"Godfather, The (1972)",Crime|Drama,
0000000904,Rear Window (1954),Mystery|Thriller,
0000000912,Casablanca (1942),Drama|Romance,
0000001036,Die Hard (1988),Action|Crime|Thriller,
0000001089,Reservoir Dogs (1992),Crime|Mystery|Thriller,
0000001193,One Flew Over the Cuckoo's Nest (1975),Drama,
0000001200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,
0000001201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,
0000001203,12 Angry Men (1957),Drama,
0000001206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,
0000001213,Goodfellas (1990),Crime|Drama,
0000001214,Alien (1979),Horror|Sci-Fi,
0000001221,"Godfather: Part II, The (1974)",Crime|Drama,
0000001227,Once Upon a Time in America (1984),Crime|Drama,
0000001252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,
0000001266,Unforgiven (1992),Drama|Western,
